v1,v2,,,
Legitimate,Ok.ok ok..then..whats ur todays plan,,,
Legitimate,Good morning princess! How are you?,,,
Legitimate,Aiyar sorry lor forgot 2 tell u...,,,
Phishing,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,,,
Legitimate,Not tonight mate. Catching up on some sleep. This is my new number by the way. ,,,
Legitimate,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",".;-):-D""",,
Phishing,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,,,
Legitimate,"So check your errors and if you had difficulties, do correction.",,,
Legitimate,Howz pain?hope u r fine..,,,
Legitimate,"Sorry, I'll call later",,,
Legitimate,Good morning princess! How are you?,,,
Legitimate,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
Legitimate,U wake up already? Thanx 4 e tau sar piah it's quite nice.,,,
Legitimate,K do I need a login or anything,,,
Phishing,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,,,
Legitimate,LOL ... No just was busy,,,
Legitimate,What * u wearing?,,,
Legitimate,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,
Legitimate,Oh:)as usual vijay film or its different?,,,
Phishing,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
Legitimate,Have you had a good day? Mine was really busy are you up to much tomorrow night?,,,
Legitimate,And is there a way you can send shade's stuff to her. And she has been wonderful too.,,,
Legitimate,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,,,
Phishing,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",,,
Legitimate,Babe ? I lost you ... :-(,,,
Legitimate,Ok... Help me ask if she's working tmr a not?,,,
Legitimate,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,,,
Legitimate,Not a drop in the tank,,,
Legitimate,(That said can you text him one more time?),,,
Legitimate,"Sorry, I'll call later",,,
Legitimate,Ok i go change also...,,,
Phishing,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),,,
Legitimate,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,,,
Legitimate,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",,,
Legitimate,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,,
Legitimate,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,,,
Legitimate,Hey! There's veggie pizza... :/,,,
Legitimate,Yun buying... But school got offer 2000 plus only...,,,
Legitimate,You sure your neighbors didnt pick it up,,,
Legitimate,K. I will sent it again,,,
Phishing,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
Legitimate,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
Legitimate,Well. Im computerless. Time to make some oreo truffles,,,
Legitimate,"Haha yeah I see that now, be there in a sec",,,
Legitimate,I am not having her number sir,,,
Legitimate,Lol now I'm after that hot air balloon!,,,
Legitimate,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,,,
Legitimate,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
Legitimate,"Yeah, we can probably swing by once my roommate finishes up with his girl",,,
Phishing,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
Legitimate,Happy new years melody!,,,
Legitimate,ÌÏ dun need to pick ur gf?,,,
Legitimate,Yay! You better not have told that to 5 other girls either.,,,
Legitimate,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,,,
Legitimate,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",,,
Legitimate,Just nw i came to hme da..,,,
Legitimate,"I'm outside islands, head towards hard rock and you'll run into me",,,
Legitimate,To day class is there are no class.,,,
Legitimate,I'm in chennai velachery:),,,
Legitimate,You flippin your shit yet?,,,
Legitimate,"K give me a sec, breaking a  &lt;#&gt;  at cstore",,,
Legitimate,Am i that much bad to avoid like this?,,,
Legitimate,"Yo, you around? Just got my car back",,,
Legitimate,Annoying isn't it.,,,
Legitimate,"Goodmorning, Today i am late for  &lt;#&gt; min.",,,
Legitimate,There's no point hangin on to mr not right if he's not makin u happy,,,
Legitimate,All will come alive.better correct any good looking figure there itself..,,,
Legitimate,In that case I guess I'll see you at campus lodge,,,
Legitimate,We're done...,,,
Legitimate,Come to my home for one last time i wont do anything. Trust me.,,,
Legitimate,I was up all night too worrying about this appt. It's a sLegitimatee we missed a girls night out with quizzes popcorn and you doing my hair.,,,
Phishing,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,,,
Legitimate,Ok... C ya...,,,
Phishing,You have 1 new voicemail. Please call 08719181503,,,
Legitimate,What he said is not the matter. My mind saying some other matter is there.,,,
Legitimate,He also knows about lunch menu only da. . I know,,,
Legitimate,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",,,
Legitimate,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
Legitimate,Otherwise had part time job na-tuition..,,,
Legitimate,I know she called me,,,
Legitimate,"Me also da, i feel yesterday night  wait til 2day night dear.",,,
Legitimate,Thanks for understanding. I've been trying to tell sura that.,,,
Phishing,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
Legitimate,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,,,
Phishing,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",,,
Legitimate,I need you to be in my strong arms...,,,
Legitimate,Also maaaan are you missing out,,,
Legitimate,His bday real is in april .,,,
Legitimate,Guessin you ain't gonna be here before 9?,,,
Legitimate,Ok then i will come to ur home after half an hour,,,
Legitimate,"Yo, the game almost over? Want to go to walmart soon",,,
Legitimate,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",,,
Legitimate,I'll text now! All creepy like so he won't think that we forgot,,,
Legitimate,"that would be good ‰Û_ I'll phone you tomo lunchtime, shall I, to organise something?",,,
Phishing,You have 1 new voicemail. Please call 08719181513.,,,
Legitimate,"Damn, can you make it tonight or do you want to just wait til tomorrow",,,
Legitimate,K..k..i'm also fine:)when will you complete the course?,,,
Legitimate,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",,,
Phishing,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
Legitimate,Prakesh is there know.,,,
Legitimate,Teach me apps da. When you come to college.,,,
Legitimate,Rofl betta invest in some  anti aging products,,,
Phishing,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
Legitimate,"sir, you will receive the account no another 1hr time. Sorry for the delay.",,,
Phishing,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,,,
Legitimate,So Ì_'ll be submitting da project tmr rite?,,,
Phishing,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,,,
Legitimate,Jus ans me lar. U'll noe later.,,,
Legitimate,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,
Legitimate,have got * few things to do. may be in * pub later.,,,
Legitimate,1's finish meeting call me.,,,
Legitimate,Lol ok. I'll snatch her purse too.,,,
Legitimate,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",,,
Legitimate,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
Legitimate,How much are we getting?,,,
Legitimate,Is ur paper in e morn or aft tmr?,,,
Legitimate,"Dear relieved of westonzoyland, all going to plan this end too!",,,
Legitimate,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,,,
Legitimate,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,,,
Legitimate,"I want to show you the world, princess :) how about europe?",,,
Legitimate,Nobody can decide where to eat and dad wants Chinese,,,
Legitimate,No shoot me. I'm in the docs waiting room. :/,,,
Legitimate,Now? I'm going out 4 dinner soon..,,,
Legitimate,Hello which the site to download songs its urgent pls,,,
Legitimate,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",,,
Legitimate,Horrible gal. Me in sch doing some stuff. How come u got mc?,,,
Legitimate,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",,,
Legitimate,"I call you later, don't have network. If urgnt, sms me.",,,
Legitimate,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,,,
Phishing,Please CALL 08712402779 immediately as there is an urgent message waiting for you,,,
Legitimate,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,,,
Legitimate,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,,,
Legitimate,What your plan for pongal?,,,
Legitimate,Just wait till end of march when el nino gets himself. Oh.,,,
Legitimate,"Not yet chikku..going to room nw, i'm in bus..",,,
Legitimate,Am also doing in cbe only. But have to pay.,,,
Legitimate,Honey boo I'm missing u.,,,
Legitimate,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",,,
Legitimate,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",,,
Legitimate,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",,,
Phishing,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",,,
Legitimate,Ok. No wahala. Just remember that a friend in need ...,,,
Legitimate,I will see in half an hour,,,
Legitimate,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",,,
Legitimate,\Hey sorry I didntgive ya a a bellearlier hunny,"just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.\""""",,
Legitimate,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,,,
Phishing,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,,,
Legitimate,"Tee hee. Off to lecture, cheery bye bye.",,,
Legitimate,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",,,
Legitimate,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,,,
Legitimate,Ok...,,,
Phishing,network operator. The service is free. For T & C's visit 80488.biz,,,
Legitimate,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,,,
Legitimate,Wot u up 2 u weirdo?,,,
Legitimate,Can do lor...,,,
Legitimate,Dont put your phone on silent mode ok,,,
Legitimate,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,,,
Legitimate,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,,,
Legitimate,Oh ho. Is this the first time u use these type of words,,,
Legitimate,Am I the only one who doesn't stalk profiles?,,,
Legitimate,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",,,
Legitimate,Yes i thought so. Thanks.,,,
Legitimate,But if she.s drinkin i'm ok.,,,
Legitimate,"Just wondering, the others just took off",,,
Legitimate,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
Legitimate,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",,,
Legitimate,Happy new year to u too!,,,
Legitimate,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",,,
Legitimate,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... ,,,
Legitimate,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",,,
Legitimate,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,,,
Legitimate,Happy birthday... May all ur dreams come true...,,,
Legitimate,Aiyah u did ok already lar. E nydc at wheellock?,,,
Legitimate,TELL HER I SAID EAT SHIT.,,,
Legitimate,Sure! I am driving but will reach my destination soon.,,,
Legitimate,"K so am I, how much for an 8th? Fifty?",,,
Legitimate,Your daily text from me ‰ÛÒ a favour this time,,,
Legitimate,Great to hear you are settling well. So what's happenin wit ola?,,,
Legitimate,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,,,
Legitimate,I tot u reach liao. He said t-shirt.,,,
Legitimate,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",,,
Legitimate,I cant pick the phone right now. Pls send a message,,,
Legitimate,Your right! I'll make the appointment right now.,,,
Legitimate,Designation is software developer and may be she get chennai:),,,
Phishing,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,,,
Phishing,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
Legitimate,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,,,
Legitimate,"Ok, be careful ! Don't text and drive !",,,
Legitimate,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",,,
Legitimate,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,,,
Legitimate,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,,,
Legitimate,How abt making some of the pics bigger?,,,
Legitimate,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,,,
Legitimate,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",,,
Legitimate,Why nothing. Ok anyway give me treat,,,
Phishing,"Win the newest ‰ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",,,
Legitimate,Ok...,,,
Legitimate,Correct. So how was work today,,,
Legitimate,"Just sent again. Do you scream and moan in bed, princess?",,,
Legitimate,"I wake up long ago already... Dunno, what other thing?",,,
Legitimate,Oh just getting even with u.... u?,,,
Legitimate,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?,,,
Legitimate,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz,,,
Legitimate,Yeah jay's sort of a fucking retard,,,
Legitimate,"Sorry, was in the bathroom, sup",,,
Phishing,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,,,
Legitimate,My exam is for february 4. Wish you a great day.,,,
Legitimate,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,,,
Legitimate,"Aight no rush, I'll ask jay",,,
Legitimate,Good Morning plz call me sir,,,
Legitimate,It's ok lar. U sleep early too... Nite...,,,
Legitimate,"Oh... Icic... K lor, den meet other day...",,,
Legitimate,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",,,
Legitimate,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",,,
Legitimate,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",,,
Legitimate,Then she buying today? ÌÏ no need to c meh...,,,
Legitimate,Aight sorry I take ten years to shower. What's the plan?,,,
Legitimate,Every monday..nxt week vl be completing..,,,
Legitimate,Might ax well im there.,,,
Legitimate,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,,,
Legitimate,Yeah I'll try to scrounge something up,,,
Legitimate,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,,,
Legitimate,Were somewhere on Fredericksburg,,,
Legitimate,Que pases un buen tiempo or something like that,,,
Legitimate,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired,,,
Legitimate,She doesnt need any test.,,,
Legitimate,"Nothing much, chillin at home. Any super bowl plan?",,,
Phishing,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk",,,
Legitimate,Bugis oso near wat... ,,,
Legitimate,Yo theres no class tmrw right?,,,
Legitimate,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,,,
Legitimate,"Goodnight, sleep well da please take care pa. Please.",,,
Legitimate,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,,,
Legitimate,Convey my regards to him,,,
Legitimate,U ned to convince him tht its not possible witot hurting his feeling its the main,,,
Legitimate,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",,,
Legitimate,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,,,
Legitimate,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",,,
Legitimate,Yo dude guess who just got arrested the other day,,,
Legitimate,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,,,
Legitimate,What does the dance river do?,,,
Legitimate,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.",,,
Legitimate,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,,,
Phishing,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",,,
Legitimate,Bbq this sat at mine from 6ish. Ur welcome 2 come,,,
Legitimate,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough ‰Û_",,,
Legitimate,Alright. I'm out--have a good night!,,,
Legitimate,Did you try making another butt.,,,
Legitimate,Hope you are feeling great. Pls fill me in. Abiola,,,
Legitimate,I though we shd go out n have some fun so bar in town or something ‰ÛÒ sound ok?,,,
Legitimate,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
Phishing,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",,,
Phishing,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",,,
Legitimate,We're finally ready fyi,,,
Legitimate,Auntie huai juan never pick up her phone,,,
Phishing,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,,,
Legitimate,"Ya tel, wats ur problem..",,,
Phishing,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
Legitimate,i dnt wnt to tlk wid u,,,
Legitimate,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!""",,,
Legitimate,Its ok my arm is feeling weak cuz i got a shot so we can go another time,,,
Legitimate,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,,,
Legitimate,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
Legitimate,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,,,
Legitimate,All e best 4 ur exam later.,,,
Legitimate,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,,,
Legitimate,Oh k.i think most of wi and nz players unsold.,,,
Legitimate,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",,,
Legitimate,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",,,
Legitimate,"Haha just kidding, papa needs drugs",,,
Legitimate,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",,,
Legitimate,Oh ok..,,,
Legitimate,R we still meeting 4 dinner tonight?,,,
Legitimate,Thats cool! I am a gentleman and will treat you with dignity and respect.,,,
Legitimate,Shall i start from hear.,,,
Legitimate,Then we wait 4 u lor... No need 2 feel bad lar...,,,
Legitimate,No did you check? I got his detailed message now,,,
Legitimate,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
Legitimate,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",,,
Legitimate,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,,,
Legitimate,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,
Legitimate,cool. We will have fun practicing making babies!,,,
Legitimate,Actually getting ready to leave the house.,,,
Legitimate,K..k..any special today?,,,
Phishing,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",,,
Legitimate,Then we gotta do it after that,,,
Legitimate,"I've got ten bucks, jay is being noncomittal",,,
Legitimate,Where at were hungry too,,,
Legitimate,Pls speak to that customer machan.,,,
Legitimate,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,,,
Legitimate,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
Phishing,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,,,
Legitimate,So wats ur opinion abt him and how abt is character?,,,
Legitimate,Jay is snickering and tells me that x is totally fucking up the chords as we speak,,,
Legitimate,No..few hours before.went to hair cut .,,,
Legitimate,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,,,
Legitimate,Lmao. Take a pic and send it to me.,,,
Legitimate,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",,,
Legitimate,No. She's currently in scotland for that.,,,
Legitimate,Do you work all this week ?,,,
Phishing,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,,,
Legitimate,Lol great now im getting hungry.,,,
Legitimate,Yes.. now only saw your message..,,,
Legitimate,I'll be at mu in like  &lt;#&gt;  seconds,,,
Legitimate,Ok...,,,
Legitimate,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,,,
Legitimate,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\"" for the entire month of february"," I'll come up""",,
Phishing,For sale - arsenal dartboard. Good condition but no doubles or trebles!,,,
Legitimate,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,,,
Legitimate,"My painful personal thought- \I always try to keep everybody happy all the time. But nobody recognises me when i am alone\""""",,,
Legitimate,Thanks for ve lovely wisheds. You rock,,,
Legitimate,You intrepid duo you! Have a great time and see you both soon. ,,,
Legitimate,I asked sen to come chennai and search for job.,,,
Legitimate,Dad went out oredi... ,,,
Legitimate,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.",,,
Legitimate,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,,,
Legitimate,"Arms fine, how's Cardiff and uni? ",,,
Legitimate,In fact when do you leave? I think addie goes back to school tues or wed,,,
Legitimate,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)""",,,
Legitimate,Ya:)going for restaurant..,,,
Legitimate,"Its ok., i just askd did u knw tht no?",,,
Phishing,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,,,
Legitimate,Those ducking chinchillas,,,
Legitimate,I am in a marriage function,,,
Legitimate,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,,,
Legitimate,Don‰Û÷t give a flying monkeys wot they think and I certainly don‰Û÷t mind. Any friend of mine and all that!,,,
Phishing,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,,,
Legitimate,say thanks2. ,,,
Legitimate,Msg me when rajini comes.,,,
Legitimate,Ya! when are Ì_ taking ure practical lessons? I start in june..  ,,,
Legitimate,"That's good, because I need drugs",,,
Legitimate,Stupid.its not possible,,,
Legitimate,Can Ì_ all decide faster cos my sis going home liao..,,,
Phishing,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,,,
Legitimate,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,,,
